filename,seccion,transparency_score,num_amounts,num_entities,act_type,keywords_count
20250801_1_Secc.pdf,1,22,0,2,DESIGNACION,3
20250804_4_Secc.pdf,4,32,19,7,CONTRATACION,5
20250801_2_Secc.pdf,2,16,220,169,DESIGNACION,5
20250805_4_Secc.pdf,4,32,22,4,CONTRATACION,5
20250804_2_Secc.pdf,2,24,301,213,DESIGNACION,2
20250806_4_Secc.pdf,4,32,21,4,CONTRATACION,5
20250805_2_Secc.pdf,2,24,300,199,DESIGNACION,2
20250806_2_Secc.pdf,2,24,301,190,DESIGNACION,3
20250811_5_Secc.pdf,5,16,31,0,CONTRATACION,3
20250808_2_Secc.pdf,2,16,354,149,DESIGNACION,4
20250812_5_Secc.pdf,5,26,33,0,DESIGNACION,5
20250814_1_Secc.pdf,1,17,0,11,DESIGNACION,2
20250822_2_Secc.pdf,2,16,230,162,DESIGNACION,6
20250826_5_Secc.pdf,5,29,29,5,CONTRATACION,7
20250826_4_Secc.pdf,4,29,69,16,CONTRATACION,7
20250829_5_Secc.pdf,5,21,15,4,CONTRATACION,4
